https://zh.wikisource.org/zh-hant/%E5%B8%B8%E7%94%A8%E5%9C%8B%E5%AD%97%E6%A8%99%E6%BA%96%E5%AD%97%E9%AB%94%E8%A1%A8
流水序	教育部字號	Unicode	常用字
00196	A00196	502A	倪
00197	A00197	4FFE	俾
00198	A00198	502B	倫
00199	A00199	5009	倉
00200	A00200	507A	偺
00201	A00201	507D	偽
00202	A00202	505C	停
00203	A00203	5047	假
00204	A00204	5043	偃
00205	A00205	504C	偌
00206	A00206	505A	做
00207	A00207	5049	偉
00208	A00208	5065	健
00209	A00209	5076	偶
00210	A00210	504E	偎
00211	A00211	5055	偕
00212	A00212	5075	偵
00213	A00213	5074	側
00214	A00214	5077	偷
00215	A00215	504F	偏
00216	A00216	500F	倏
00217	A00217	50A2	傢
00218	A00218	508D	傍
00219	A00219	5085	傅
00220	A00220	5099	備
00221	A00221	5091	傑
00222	A00222	5080	傀
00223	A00223	5096	傖
00224	A00224	5098	傘
00225	A00225	50AD	傭
00226	A00226	50B5	債
00227	A00227	50B2	傲
00228	A00228	50B3	傳
00229	A00229	50C5	僅
00230	A00230	50BE	傾
00231	A00231	50AC	催
00232	A00232	50B7	傷
00233	A00233	50BB	傻
00234	A00234	50AF	傯
00235	A00235	50E7	僧
00236	A00236	50EE	僮
00237	A00237	50E5	僥
00238	A00238	50D6	僖
00239	A00239	50ED	僭
00240	A00240	50DA	僚
00241	A00241	50D5	僕
00242	A00242	50CF	像
00243	A00243	50D1	僑
00244	A00244	50F1	僱
00245	A00245	5104	億
00246	A00246	5100	儀
00247	A00247	50FB	僻
00248	A00248	50F5	僵
00249	A00249	50F9	價
00250	A00250	5102	儂
00251	A00251	5108	儈
00252	A00252	5109	儉
00253	A00253	5112	儒
00254	A00254	5118	儘
00255	A00255	5114	儔
00256	A00256	5110	儐
00257	A00257	512A	優
00258	A00258	511F	償
00259	A00259	5121	儡
00260	A00260	5132	儲
00261	A00261	5137	儷
00262	A00262	513C	儼
00263	A00263	5140	兀
00264	A00264	5143	元
00265	A00265	5141	允
00266	A00266	5145	充
00267	A00267	5144	兄
00268	A00268	5149	光
00269	A00269	5147	兇
00270	A00270	5146	兆
00271	A00271	5148	先
00272	A00272	514C	兌
00273	A00273	514B	克
00274	A00274	5155	兕
00275	A00275	514D	免
00276	A00276	5154	兔
00277	A00277	5152	兒
00278	A00278	5157	兗
00279	A00279	515C	兜
00280	A00280	5162	兢
00281	A00281	5165	入
00282	A00282	5167	內
00283	A00283	5168	全
00284	A00284	5169	兩
00285	A00285	516B	八
00286	A00286	516D	六
00287	A00287	516E	兮
00288	A00288	516C	公
00289	A00289	5171	共
00290	A00290	5175	兵
00291	A00291	5177	具
00292	A00292	5176	其
00293	A00293	5178	典
00294	A00294	517C	兼
00295	A00295	5180	冀
00296	A00296	5189	冉
00297	A00297	518A	冊
00298	A00298	518D	再
00299	A00299	5192	冒
00300	A00300	5191	冑
00301	A00301	5195	冕
00302	A00302	6700	最
00303	A00303	5197	冗
00304	A00304	51A0	冠
00305	A00305	51A4	冤
00306	A00306	51A5	冥
00307	A00307	51A2	冢
00308	A00308	51AC	冬
00309	A00309	51B0	冰
00310	A00310	51B6	冶
00311	A00311	51B7	冷
00312	A00312	51BD	冽
00313	A00313	51CD	凍
00314	A00314	51CC	凌
00315	A00315	51C6	准
00316	A00316	51CB	凋
00317	A00317	51DC	凜
00318	A00318	51DD	凝
00319	A00319	51E0	几
00320	A00320	51F0	凰
00321	A00321	51F1	凱
00322	A00322	51F3	凳
00323	A00323	51F6	凶
00324	A00324	51F9	凹
00325	A00325	51FA	出
00326	A00326	51F8	凸
00327	A00327	51FD	函
00328	A00328	5200	刀
00329	A00329	5201	刁
00330	A00330	5203	刃
00331	A00331	5206	分
00332	A00332	5207	切
00333	A00333	5208	刈
00334	A00334	520A	刊
00335	A00335	5217	列
00336	A00336	5211	刑
00337	A00337	5212	划
00338	A00338	520E	刎
00339	A00339	5225	別
00340	A00340	5224	判
00341	A00341	5229	利
00342	A00342	522A	刪
00343	A00343	5228	刨
00344	A00344	523B	刻
00345	A00345	5238	券
00346	A00346	5237	刷
00347	A00347	523A	刺
00348	A00348	5230	到
00349	A00349	522E	刮
00350	A00350	5236	制
00351	A00351	5241	剁
00352	A00352	524E	剎
00353	A00353	5243	剃
00354	A00354	524A	削
00355	A00355	524D	前
00356	A00356	524C	剌
00357	A00357	524B	剋
00358	A00358	5247	則
00359	A00359	5256	剖
00360	A00360	525C	剜
00361	A00361	5254	剔
00362	A00362	525B	剛
00363	A00363	525D	剝
00364	A00364	526A	剪
00365	A00365	526F	副
00366	A00366	5272	割
00367	A00367	5274	剴
00368	A00368	5275	創
00369	A00369	5269	剩
00370	A00370	527F	剿
00371	A00371	5277	剷
00372	A00372	527D	剽
00373	A00373	5283	劃
00374	A00374	5287	劇
00375	A00375	5288	劈
00376	A00376	5289	劉
00377	A00377	528D	劍
00378	A00378	5291	劑
00379	A00379	529B	力
00380	A00380	52A0	加
00381	A00381	529F	功
00382	A00382	52A3	劣
00383	A00383	52AB	劫
00384	A00384	52A9	助
00385	A00385	52AA	努
00386	A00386	52AC	劬
00387	A00387	52BE	劾
00388	A00388	52C7	勇
00389	A00389	52C9	勉
00390	A00390	52C3	勃
00391	A00391	52C1	勁
00392	A00392	52D2	勒
00393	A00393	52D9	務
00394	A00394	52D8	勘
00395	A00395	52D5	動
00396	A00396	52DE	勞
00397	A00397	52DD	勝
00398	A00398	52DB	勛
00399	A00399	52DF	募
00400	A00400	52E6	勦
00401	A00401	52E4	勤
00402	A00402	52E2	勢
00403	A00403	52F5	勵
00404	A00404	52F8	勸
00405	A00405	52FB	勻
00406	A00406	52FE	勾
00407	A00407	52FF	勿
00408	A00408	5305	包
00409	A00409	5306	匆
00410	A00410	5308	匈
00411	A00411	530D	匍
00412	A00412	5310	匐
00413	A00413	530F	匏
00414	A00414	5315	匕
00415	A00415	5316	化
00416	A00416	5317	北
00417	A00417	5319	匙
00418	A00418	531D	匝
00419	A00419	5321	匡
00420	A00420	5320	匠
00421	A00421	5323	匣
00422	A00422	532A	匪
00423	A00423	532F	匯
00424	A00424	5331	匱
00425	A00425	5339	匹
00426	A00426	533F	匿
00427	A00427	5340	區
00428	A00428	533E	匾
00429	A00429	5341	十
00430	A00430	5343	千
00431	A00431	5348	午
00432	A00432	5347	升
00433	A00433	5345	卅
00434	A00434	4EDF	仟
00435	A00435	534A	半
00436	A00436	5349	卉
00437	A00437	5352	卒
00438	A00438	5354	協
00439	A00439	5353	卓
00440	A00440	5351	卑
00441	A00441	5357	南
00442	A00442	535A	博
00443	A00443	535C	卜
00444	A00444	535E	卞
00445	A00445	5361	卡
00446	A00446	5360	占
00447	A00447	5366	卦
00448	A00448	536F	卯
00449	A00449	536E	卮
00450	A00450	5370	印
00451	A00451	5371	危
00452	A00452	5373	即
00453	A00453	5375	卵
00454	A00454	5377	卷
00455	A00455	5378	卸
00456	A00456	5379	卹
00457	A00457	537B	卻
00458	A00458	537F	卿
00459	A00459	5384	厄
00460	A00460	539A	厚
00461	A00461	539F	原
00462	A00462	539D	厝
00463	A00463	53A5	厥
00464	A00464	53AD	厭
00465	A00465	53B2	厲
00466	A00466	53BB	去
00467	A00467	53C3	參
00468	A00468	53C8	又
00469	A00469	53C9	叉
00470	A00470	53CB	友
00471	A00471	53CA	及
00472	A00472	53CD	反
00473	A00473	53D6	取
00474	A00474	53D4	叔
00475	A00475	53D7	受
00476	A00476	53DB	叛
00477	A00477	53DF	叟
00478	A00478	66FC	曼
00479	A00479	53E2	叢
00480	A00480	53E3	口
00481	A00481	53EF	可
00482	A00482	53E4	古
00483	A00483	53F3	右
00484	A00484	53EC	召
00485	A00485	53EE	叮
00486	A00486	53E9	叩
00487	A00487	53E8	叨
00488	A00488	53FC	叼
00489	A00489	53F8	司
00490	A00490	53F5	叵
00491	A00491	53EB	叫
00492	A00492	53E6	另
00493	A00493	53EA	只
00494	A00494	53F2	史
00495	A00495	53F1	叱
00496	A00496	53F0	台
00497	A00497	53E5	句
00498	A00498	53ED	叭
00499	A00499	5409	吉
00500	A00500	540F	吏
00501	A00501	540C	同
00502	A00502	540A	吊
00503	A00503	5410	吐
00504	A00504	5401	吁
00505	A00505	540B	吋
00506	A00506	5404	各
00507	A00507	5411	向
00508	A00508	540D	名
00509	A00509	5408	合
00510	A00510	5403	吃
00511	A00511	540E	后
00512	A00512	5406	吆
00513	A00513	5412	吒
00514	A00514	541D	吝
00515	A00515	542D	吭
00516	A00516	541E	吞
00517	A00517	543E	吾
00518	A00518	5426	否
00519	A00519	544E	呎
00520	A00520	5427	吧
00521	A00521	5446	呆
00522	A00522	5443	呃
00523	A00523	5433	吳
00524	A00524	5448	呈
00525	A00525	5442	呂
00526	A00526	541B	君
00527	A00527	5429	吩
00528	A00528	544A	告
00529	A00529	5439	吹
00530	A00530	543B	吻
00531	A00531	5438	吸
00532	A00532	542E	吮
00533	A00533	5435	吵
00534	A00534	5436	吶
00535	A00535	5420	吠
00536	A00536	543C	吼
00537	A00537	5440	呀
00538	A00538	5431	吱
00539	A00539	542B	含
00540	A00540	541F	吟
00541	A00541	5473	味
00542	A00542	5475	呵
00543	A00543	5496	咖
00544	A00544	5478	呸
00545	A00545	5495	咕
00546	A00546	5480	咀
00547	A00547	547B	呻
00548	A00548	5477	呷
00549	A00549	5484	咄
00550	A00550	5492	咒
00551	A00551	5486	咆
00552	A00552	547C	呼
00553	A00553	5490	咐
00554	A00554	5471	呱
00555	A00555	5476	呶
00556	A00556	548C	和
00557	A00557	549A	咚
00558	A00558	5462	呢
00559	A00559	5468	周
00560	A00560	548B	咋
00561	A00561	547D	命
00562	A00562	548E	咎
00563	A00563	54AC	咬
00564	A00564	54C0	哀
00565	A00565	54A8	咨
00566	A00566	54CE	哎
00567	A00567	54C9	哉
00568	A00568	54B8	咸
00569	A00569	54A6	咦
00570	A00570	54B3	咳
00571	A00571	54C7	哇
00572	A00572	54C2	哂
00573	A00573	54BD	咽
00574	A00574	54AA	咪
00575	A00575	54C1	品
00576	A00576	54C4	哄
00577	A00577	54C8	哈
00578	A00578	54AF	咯
00579	A00579	54AB	咫
00580	A00580	54B1	咱
00581	A00581	54BB	咻
00582	A00582	54E8	哨
00583	A00583	5510	唐
00584	A00584	5501	唁
00585	A00585	5537	唷
00586	A00586	54FC	哼
00587	A00587	54E5	哥
00588	A00588	54F2	哲
00589	A00589	5506	唆
00590	A00590	54FA	哺
00591	A00591	5514	唔
00592	A00592	54E9	哩
00593	A00593	54ED	哭
00594	A00594	54E1	員
00595	A00595	5509	唉
00596	A00596	54EE	哮
00597	A00597	54EA	哪
00598	A00598	54E6	哦
00599	A00599	5527	唧
00600	A00600	5546	商
00601	A00601	556A	啪
00602	A00602	5566	啦
00603	A00603	5544	啄
00604	A00604	555E	啞
00605	A00605	5561	啡
00606	A00606	5543	啃
00607	A00607	554A	啊
00608	A00608	5531	唱
00609	A00609	5556	啖
00610	A00610	554F	問
00611	A00611	5555	啕
00612	A00612	552F	唯
00613	A00613	5564	啤
00614	A00614	5538	唸
00615	A00615	552E	售
00616	A00616	555C	啜
00617	A00617	552C	唬
00618	A00618	5563	啣
00619	A00619	5533	唳
00620	A00620	557B	啻
00621	A00621	5580	喀
00622	A00622	55A7	喧
00623	A00623	557C	啼
00624	A00624	558A	喊
00625	A00625	559D	喝
00626	A00626	5598	喘
00627	A00627	5582	喂
00628	A00628	559C	喜
00629	A00629	55AA	喪
00630	A00630	5594	喔
00631	A00631	5587	喇
00632	A00632	558B	喋
00633	A00633	5583	喃
00634	A00634	55B3	喳
00635	A00635	55AE	單
00636	A00636	559F	喟
00637	A00637	553E	唾
00638	A00638	55B2	喲
00639	A00639	559A	喚
00640	A00640	55BB	喻
00641	A00641	55AC	喬
00642	A00642	55B1	喱
00643	A00643	557E	啾
00644	A00644	5589	喉
00645	A00645	55DF	嗟
00646	A00646	55E8	嗨
00647	A00647	55D3	嗓
00648	A00648	55E6	嗦
00649	A00649	55CE	嗎
00650	A00650	55DC	嗜
00651	A00651	55C7	嗇
00652	A00652	55D1	嗑
00653	A00653	55E3	嗣
00654	A00654	55E4	嗤
00655	A00655	55EF	嗯
00656	A00656	55DA	嗚
00657	A00657	55E1	嗡
00658	A00658	55C5	嗅
00659	A00659	55C6	嗆
00660	A00660	55E5	嗥
00661	A00661	55FE	嗾
00662	A00662	5600	嘀
00663	A00663	561B	嘛
00664	A00664	5617	嘗
00665	A00665	55FD	嗽
00666	A00666	5614	嘔
00667	A00667	5606	嘆
00668	A00668	5609	嘉
00669	A00669	560D	嘍
00670	A00670	560E	嘎
00671	A00671	55F7	嗷
00672	A00672	5616	嘖
00673	A00673	561F	嘟
00674	A00674	5608	嘈
00675	A00675	562E	嘮
00676	A00676	563B	嘻
00677	A00677	5639	嘹
00678	A00678	5632	嘲
00679	A00679	563F	嘿
00680	A00680	5629	嘩
00681	A00681	5653	噓
00682	A00682	564E	噎
00683	A00683	5657	噗
00684	A00684	5674	噴
00685	A00685	5636	嘶
00686	A00686	562F	嘯
00687	A00687	5630	嘰
00688	A00688	5659	噙
00689	A00689	566B	噫
00690	A00690	5679	噹
00691	A00691	5669	噩
00692	A00692	5664	噤
00693	A00693	5678	噸
00694	A00694	5634	嘴
00695	A00695	566A	噪
00696	A00696	5668	器
00697	A00697	5665	噥
00698	A00698	5671	噱
00699	A00699	566F	噯
00700	A00700	566C	噬
00701	A00701	5662	噢
00702	A00702	568E	嚎
00703	A00703	5680	嚀
00704	A00704	5690	嚐
00705	A00705	5685	嚅
00706	A00706	5687	嚇
00707	A00707	568F	嚏
00708	A00708	5695	嚕
00709	A00709	56AE	嚮
00710	A00710	56A5	嚥
00711	A00711	56A8	嚨
00712	A00712	56B7	嚷
00713	A00713	56B6	嚶
00714	A00714	56B4	嚴
00715	A00715	56BC	嚼
00716	A00716	56C1	囁
00717	A00717	56C0	囀
00718	A00718	56C2	囂
00719	A00719	56C8	囈
00720	A00720	56CA	囊
00721	A00721	56C9	囉
00722	A00722	56CC	囌
00723	A00723	56D1	囑
00724	A00724	56DB	四
00725	A00725	56DA	囚
00726	A00726	56E0	因
00727	A00727	56DE	回
00728	A00728	56EA	囪
00729	A00729	56F0	困
00730	A00730	56E4	囤
00731	A00731	56FA	固
00732	A00732	5703	圃
00733	A00733	5708	圈
00734	A00734	570B	國
00735	A00735	570D	圍
00736	A00736	5712	園
00737	A00737	5713	圓
00738	A00738	5718	團
00739	A00739	5716	圖
00740	A00740	571F	土
00741	A00741	5733	圳
00742	A00742	5730	地
00743	A00743	5728	在
00744	A00744	572D	圭
00745	A00745	572C	圬
00746	A00746	572F	圯
00747	A00747	574A	坊
00748	A00748	5751	坑
00749	A00749	5740	址
00750	A00750	574D	坍
00751	A00751	5747	均
00752	A00752	574E	坎
00753	A00753	573E	圾
00754	A00754	5750	坐
00755	A00755	574F	坏
00756	A00756	5783	垃
00757	A00757	5777	坷
00758	A00758	576A	坪
00759	A00759	5769	坩
00760	A00760	5761	坡
00761	A00761	5766	坦
00762	A00762	5764	坤
00763	A00763	577C	坼
00764	A00764	5782	垂
00765	A00765	578B	型
00766	A00766	57A0	垠
00767	A00767	57A3	垣
00768	A00768	57A2	垢
00769	A00769	57CE	城
00770	A00770	57AE	垮
00771	A00771	57C2	埂
00772	A00772	57D4	埔
00773	A00773	57CB	埋
00774	A00774	57C3	埃
00775	A00775	57DF	域
00776	A00776	5805	堅
00777	A00777	580A	堊
00778	A00778	5806	堆
00779	A00779	57E0	埠
00780	A00780	57E4	埤
00781	A00781	57FA	基
00782	A00782	5802	堂
00783	A00783	5835	堵
00784	A00784	57F7	執
00785	A00785	57F9	培
00786	A00786	582F	堯
00787	A00787	582A	堪
00788	A00788	5834	場
00789	A00789	5824	堤
00790	A00790	5830	堰
00791	A00791	5831	報
00792	A00792	5821	堡
00793	A00793	585E	塞
00794	A00794	5851	塑
00795	A00795	5858	塘
00796	A00796	5857	塗
00797	A00797	585A	塚
00798	A00798	5854	塔
00799	A00799	586B	填
00800	A00800	584C	塌
00801	A00801	586D	塭
00802	A00802	584A	塊
00803	A00803	5862	塢
00804	A00804	5875	塵
00805	A00805	587E	塾
00806	A00806	5883	境
00807	A00807	5893	墓
00808	A00808	588A	墊
00809	A00809	5879	塹
00810	A00810	5885	墅
00811	A00811	5880	墀
00812	A00812	589F	墟
00813	A00813	589E	增
00814	A00814	58B3	墳
00815	A00815	589C	墜
00816	A00816	58AE	墮
00817	A00817	58C1	壁
00818	A00818	58BE	墾
00819	A00819	58C7	壇
00820	A00820	58C5	壅
00821	A00821	58D5	壕
00822	A00822	58D3	壓
00823	A00823	58D1	壑
00824	A00824	58D9	壙
00825	A00825	58D8	壘
00826	A00826	58DE	壞
00827	A00827	58DF	壟
00828	A00828	58E2	壢
00829	A00829	58E4	壤
00830	A00830	58E9	壩
00831	A00831	58EB	士
00832	A00832	58EC	壬
00833	A00833	58EF	壯
00834	A00834	58F9	壹
00835	A00835	58FA	壺
00836	A00836	58FD	壽
00837	A00837	590F	夏
00838	A00838	5914	夔
00839	A00839	5915	夕
00840	A00840	5916	外
00841	A00841	5919	夙
00842	A00842	591A	多
00843	A00843	591C	夜
00844	A00844	5920	夠
00845	A00845	5925	夥
00846	A00846	5922	夢
00847	A00847	5924	夤
00848	A00848	5927	大
00849	A00849	5929	天
00850	A00850	592B	夫
00851	A00851	592A	太
00852	A00852	592D	夭
00853	A00853	592E	央
00854	A00854	5931	失
00855	A00855	5937	夷
00856	A00856	5938	夸
00857	A00857	593E	夾
00858	A00858	5949	奉
00859	A00859	5947	奇
00860	A00860	5948	奈
00861	A00861	5944	奄
00862	A00862	5954	奔
00863	A00863	5955	奕
00864	A00864	5951	契
00865	A00865	594F	奏
00866	A00866	594E	奎
00867	A00867	5950	奐
00868	A00868	5957	套
00869	A00869	5958	奘
00870	A00870	595A	奚
00871	A00871	5962	奢
00872	A00872	5960	奠
00873	A00873	5967	奧
00874	A00874	596A	奪
00875	A00875	5969	奩
00876	A00876	596E	奮
00877	A00877	5973	女
00878	A00878	5974	奴
00879	A00879	5976	奶
00880	A00880	5984	妄
00881	A00881	5978	奸
00882	A00882	5983	妃
00883	A00883	597D	好
00884	A00884	5979	她
00885	A00885	5982	如
00886	A00886	5981	妁
00887	A00887	599D	妝
00888	A00888	5992	妒
00889	A00889	59A8	妨
00890	A00890	599E	妞
00891	A00891	59A3	妣
00892	A00892	5999	妙
00893	A00893	5996	妖
00894	A00894	598D	妍
00895	A00895	59A4	妤
00896	A00896	5993	妓
00897	A00897	598A	妊
00898	A00898	59A5	妥
00899	A00899	59BE	妾
00900	A00900	59BB	妻
00901	A00901	59D4	委
00902	A00902	59B9	妹
00903	A00903	59AE	妮
00904	A00904	59D1	姑
00905	A00905	59C6	姆
00906	A00906	59D0	姐
00907	A00907	59CD	姍
00908	A00908	59CB	始
00909	A00909	59D3	姓
00910	A00910	59CA	姊
00911	A00911	59AF	妯
00912	A00912	59B3	妳
00913	A00913	59D2	姒
00914	A00914	59DC	姜
00915	A00915	59D8	姘
00916	A00916	59FF	姿
00917	A00917	59E3	姣
00918	A00918	59E8	姨
00919	A00919	5A03	娃
00920	A00920	59E5	姥
00921	A00921	59EA	姪
00922	A00922	59DA	姚
00923	A00923	59E6	姦
00924	A00924	5A01	威
00925	A00925	59FB	姻
00926	A00926	5A11	娑
00927	A00927	5A18	娘
00928	A00928	5A1C	娜
00929	A00929	5A1F	娟
00930	A00930	5A1B	娛
00931	A00931	5A13	娓
00932	A00932	59EC	姬
00933	A00933	5A20	娠
00934	A00934	5A23	娣
00935	A00935	5A29	娩
00936	A00936	5A25	娥
00937	A00937	5A0C	娌
00938	A00938	5A36	娶
00939	A00939	5A41	婁
00940	A00940	5A49	婉
00941	A00941	5A66	婦
00942	A00942	5A6A	婪
00943	A00943	5A40	婀
00944	A00944	5A3C	娼
00945	A00945	5A62	婢
00946	A00946	5A5A	婚
00947	A00947	5A46	婆
00948	A00948	5A4A	婊
00949	A00949	5A77	婷
00950	A00950	5A9A	媚
00951	A00951	5A7F	婿
00952	A00952	5A92	媒
00953	A00953	5A9B	媛
00954	A00954	5AC1	嫁
00955	A00955	5AC9	嫉
00956	A00956	5ACC	嫌
00957	A00957	5ABE	媾
00958	A00958	5ABD	媽
00959	A00959	5ABC	媼
00960	A00960	5AB3	媳
00961	A00961	5AC2	嫂
00962	A00962	5AB2	媲
00963	A00963	5AE1	嫡
00964	A00964	5AE6	嫦
00965	A00965	5AE9	嫩
00966	A00966	5AD7	嫗
00967	A00967	5AD6	嫖
00968	A00968	5AD8	嫘
00969	A00969	5AE3	嫣
00970	A00970	5B09	嬉
00971	A00971	5AFB	嫻
00972	A00972	5B0B	嬋
00973	A00973	5AF5	嫵
00974	A00974	5B0C	嬌
00975	A00975	5B1D	嬝
00976	A00976	5B34	嬴
00977	A00977	5B30	嬰
00978	A00978	5B2A	嬪
00979	A00979	5B24	嬤
00980	A00980	5B38	嬸
00981	A00981	5B40	孀
00982	A00982	5B50	子
00983	A00983	5B51	孑
00984	A00984	5B53	孓
00985	A00985	5B54	孔
00986	A00986	5B55	孕
00987	A00987	5B57	字
00988	A00988	5B58	存
00989	A00989	5B5D	孝
00990	A00990	5B5C	孜
00991	A00991	5B5A	孚
00992	A00992	5B5F	孟
00993	A00993	5B64	孤
00994	A00994	5B63	季
00995	A00995	5B69	孩
00996	A00996	5B6B	孫
00997	A00997	5B70	孰
00998	A00998	5B73	孳
00999	A00999	5B71	孱
01000	A01000	5B75	孵
01001	A01001	5B78	學
01002	A01002	5B7A	孺
01003	A01003	5B7D	孽
01004	A01004	5B7F	孿
01005	A01005	5B83	它
01006	A01006	5B87	宇
01007	A01007	5B88	守
01008	A01008	5B85	宅
01009	A01009	5B89	安
01010	A01010	5B8C	完
01011	A01011	5B8B	宋
01012	A01012	5B8F	宏
01013	A01013	5B97	宗
01014	A01014	5B9A	定
01015	A01015	5B98	官
01016	A01016	5B9C	宜
01017	A01017	5B99	宙
01018	A01018	5B9B	宛
01019	A01019	5BA3	宣
